id,img,label,text,description
16297,/kaggle/input/facebook-hateful-meme-dataset/data/img/16297.png,1,"so, you think by being a muslim sympathizer, this will somehow keef us from killing you ? you are a special kind of stupid","json
{
""caption_text"": ""So, you think by being an amusin sympathizer, this will somehow keep us from killing you?"",
""description"": ""An elderly man with a beard and a turban is smiling at the camera. The background features a green truck. The image contains a text that reads 'So, you think by being an amusin sympathizer, this will somehow keep us from killing you?'. This suggests that the man is playfully challenging the viewer's assumption that his amusing demeanor will protect him from harm.""
}"
24698,/kaggle/input/facebook-hateful-meme-dataset/data/img/24698.png,0,when you chop onions,"json
{
""caption_text"": ""when you chop onions"",
""description"": ""A man with black hair is making a funny face while holding his eyes with his fingers. He is wearing a white collared shirt. The background is plain white.""
}"
20948,/kaggle/input/facebook-hateful-meme-dataset/data/img/20948.png,1,"trumpanzees when are you low skilled, white trash motherfuckers gonna get busy doing all the jobs mexicans used to do? we're waiting","json
{
""caption_text"": ""trumpanzees when are you low skilled, white trash motherfuckers gonna get busy doing all the jobs mexicans' used to do? we're waiting"",
""description"": ""A meme featuring a group of men in a boat with a caption that reads 'trumpanzees when are you low skilled, white trash motherfuckers gonna get busy doing all the jobs mexicans' used to do? we're waiting'. The men in the boat are wearing red, white, and blue shirts and holding oars. The meme seems to be making a political statement about immigration and job availability.""
}"
74530,/kaggle/input/facebook-hateful-meme-dataset/data/img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"json
{
""caption_text"": ""A man in a suit and tie sits in a church pew. Above him, a pizza is displayed with a caption that reads, 'What's the difference between a Jew and a pizza? A pizza doesn't scream when you put it in the oven.'"",
""description"": ""The image is a meme featuring a man in a suit and tie sitting in a church pew. Above him, there is a pizza with a caption that humorously compares the man to the pizza. The caption reads, 'What's the difference between a Jew and a pizza? A pizza doesn't scream when you put it in the oven.' The man appears to be in a state of contemplation, perhaps pondering the meaning of the caption. The pizza is placed on a wooden table, and there are tomatoes and a knife nearby, suggesting that the pizza is ready to be eaten. The overall tone of the meme is light-hearted and humorous, using the man's attire and the pizza as a metaphor for the differences between Jews and pizzas.""
}"
29104,/kaggle/input/facebook-hateful-meme-dataset/data/img/29104.png,0,america is for americans period! i agree. why don't you go back to europe?,"json
{
""caption_text"": ""america is for americans period! i agree, why don't you go back to europe?"",
""description"": ""This is a black and white meme featuring a group of people dressed in colonial-era clothing. The text superimposed on the image reads 'America is for Americans period! I agree, why don't you go back to Europe?'. The meme seems to be making a statement about the exclusivity of America for Americans, suggesting that those who don't belong here should return to Europe.""
}"
78409,/kaggle/input/facebook-hateful-meme-dataset/data/img/78409.png,1,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,"json
{
""caption_text"": ""I stand with butter these were this time at auschwitz when I needed medical attention and doctor mengelle was there for me"",
""description"": ""This is a black and white photograph capturing a poignant moment in history. The image features a group of individuals, all dressed in striped clothing, standing behind a barbed wire fence. The fence, a symbol of confinement and restriction, separates the viewer from the subjects of the photograph. The individuals are looking directly at the camera, their expressions serious and reflective. The photograph is taken from a low angle, adding a sense of depth and perspective to the image. The black and white color scheme enhances the starkness of the scene, drawing attention to the subjects and their expressions. The image is a powerful representation of resilience and determination in the face of adversity.""
}"
74083,/kaggle/input/facebook-hateful-meme-dataset/data/img/74083.png,0,ready for prom,"json
{
""caption_text"": ""A man and woman sitting on a bed with a sign that says 'ready for prom'"",
""description"": ""A man and woman sitting on a bed with a sign that says 'ready for prom'.""
}"
70598,/kaggle/input/facebook-hateful-meme-dataset/data/img/70598.png,1,i eat ass & dicks with my wahabi brothers,"json
{
""caption_text"": ""I eat ass & dicks with my wahabi brothers"",
""description"": ""A man with a beard and a red headscarf is smiling and making a joke about his religious beliefs. The text in the image is a play on words, suggesting that he engages in sexual activities with his fellow religious members.""
}"
69041,/kaggle/input/facebook-hateful-meme-dataset/data/img/69041.png,0,justin trudeau the imam of canada,"json
{
""caption_text"": ""Justin Trudeau the imam of Canada"",
""description"": ""The image is a meme featuring two men. The man on the top half of the image is wearing a suit and tie, and he is smiling. The man on the bottom half of the image is wearing a white hat and is kneeling on the ground. The meme is captioned with the text 'Justin Trudeau the imam of Canada', suggesting a humorous comparison between the man in the suit and the man in the white hat. The meme appears to be a play on words, using the name 'Justin Trudeau' to imply that the man in the suit is the 'imam' or leader of Canada, while the man in the white hat is the 'imam of Canada'.""
}"
79024,/kaggle/input/facebook-hateful-meme-dataset/data/img/79024.png,1,good morning gamers let's go kill some trannies,"json
{
""caption_text"": ""good morning gamers let's go kill some trannies"",
""description"": ""A meme featuring an elderly woman holding a gun. The text in the image reads 'good morning gamers let's go kill some trannies'. The woman appears to be making a joke or statement about video games and transgender individuals.""
}"
2987,/kaggle/input/facebook-hateful-meme-dataset/data/img/02987.png,0,not my president not my residents,"json
{
""caption_text"": ""not my president"",
""description"": ""A meme featuring a man in a suit and red tie speaking into a microphone. The man is smiling and appears to be addressing a crowd of protesters. The protesters are holding signs with messages such as 'not my president' and 'build the wall'. The meme seems to be a political statement, possibly in support of a presidential candidate or policy.""
}"
20543,/kaggle/input/facebook-hateful-meme-dataset/data/img/20543.png,1,and then i told that goat fucker suck my star spangled dick,"json
{
""caption_text"": ""and then i told that goat fucker suck my star spangled dick"",
""description"": ""A meme featuring an elderly man sitting at a table with a plate of food in front of him. The man is wearing a black hat and is pointing at the plate. The text in the image reads 'and then i told that goat fucker suck my star spangled dick'.""
}"
58349,/kaggle/input/facebook-hateful-meme-dataset/data/img/58349.png,0,when you dont stir the nesquick powder in your milk enough,"json
{
""caption_text"": ""When you don't stir the nesquik powder in your milk enough"",
""description"": ""The image depicts a spoonful of chocolate milk with a chocolate square floating on the surface. The spoon is filled with white milk and the chocolate square is surrounded by white foam. The background is black, and there is a text in white that reads 'when you don't stir the nesquik powder in your milk enough'.""
}"
67892,/kaggle/input/facebook-hateful-meme-dataset/data/img/67892.png,1,did you say dude blew his tranny???,"json
{
""caption_text"": ""A woman with a microphone saying did you say dude blew his tranny?"",
""description"": ""A meme featuring a woman with a microphone, set against a blue background with white text. The woman appears to be in the middle of a speech or interview. The text in the image reads 'did you say dude blew his tranny?'. The meme seems to be a play on words, possibly referencing a recent news story or event.""
}"
83271,/kaggle/input/facebook-hateful-meme-dataset/data/img/83271.png,1,having a bad day? you could be a siamese twin attached to gay brother who has a date and your the only one with an ass,"json
{
""caption_text"": ""having a bad day? you could be a samesex twin attached to gay brother who has a date and your the only one with an ass"",
""description"": ""A meme featuring a man with his finger pointing upwards. The meme contains text that humorously describes a situation involving a same-sex twin and a gay brother. The text suggests that the man in the meme is the only one with an 'ass' in a particular context.""
}"
4397,/kaggle/input/facebook-hateful-meme-dataset/data/img/04397.png,1,what do you call a a retarded jew? auschwistic,"json
{
""caption_text"": ""what do you call a retarded jew? auschwitzic"",
""description"": ""Two people are sitting next to each other, one of them is wearing glasses and has their hands on their cheeks. The other person is smiling. The image is a meme with a caption that reads 'what do you call a retarded jew? auschwitzic'.""
}"
3841,/kaggle/input/facebook-hateful-meme-dataset/data/img/03841.png,1,when i grow up... lol nevermind,"json
{
""caption_text"": ""when i grow up... lol nevermind"",
""description"": ""A young boy in a striped shirt stands in a field of tall grass, looking up at the sky. The image is overlaid with a text that reads 'when i grow up... lol nevermind'.""
}"
24875,/kaggle/input/facebook-hateful-meme-dataset/data/img/24875.png,0,im this pretty because make up works miracles,"json
{
""caption_text"": ""I'm this pretty because make up works miracles"",
""description"": ""A woman with blonde hair and blue eyes is smiling at the camera. She is wearing a gray top. The background is a blurred beach scene. The text in the image is a quote about makeup.""
}"
52034,/kaggle/input/facebook-hateful-meme-dataset/data/img/52034.png,0,"when you get arrested and the cop says ""you have the right to remain silent"" but you're happy because finally you have a right","json
{
""caption_text"": ""When you get arrested and the cop says you have the right to remain silent but you're happy because finally you have a right"",
""description"": ""A black and white meme featuring a man in a white shirt and pants. The man is kneeling on the ground with his hands behind his back. The meme contains a humorous caption that reads, 'When you get arrested and the cop says you have the right to remain silent but you're happy because finally you have a right'. The meme is in black and white, adding a dramatic effect to the scene.""
}"
96513,/kaggle/input/facebook-hateful-meme-dataset/data/img/96513.png,1,"what in the cousin humpin, skoal spittin, busch light drinkin, winston smokin, restraining order havin, mullet rockin, trailer park treasure is this!?","json
{
""caption_text"": ""what in the cousin hump, skoal spittin, bush light drinkin, winston smokin, restrainin order havin, mullet rockin, trailer park treasure is this?"",
""description"": ""An old, rusted blue pickup truck is parked in a dirt lot. The truck is missing its hood and has a flat tire. A sign is placed on the hood of the truck that reads, 'what in the cousin hump, skoal spittin, bush light drinkin, winston smokin, restrainin order havin, mullet rockin, trailer park treasure is this?'""
}"
